"sum","time","diff"
"1254","1750265296602","-1"
"1264","1750265296602","1"
"1264","1750265297602","-1"
"1274","1750265297602","1"
"1274","1750265298602","-1"
"1284","1750265298602","1"
"1284","1750265299602","-1"
"1294","1750265299602","1"
"1294","1750265300602","-1"
"1304","1750265300602","1"
"1304","1750265301602","-1"
"1314","1750265301602","1"
"1314","1750265302602","-1"
"1324","1750265302602","1"
"1324","1750265303602","-1"
"1334","1750265303602","1"
"1334","1750265304602","-1"
"1344","1750265304602","1"
"1344","1750265305602","-1"
"1353","1750265305602","1"
"1353","1750265306602","-1"
"1363","1750265306602","1"
"1363","1750265307602","-1"
"1373","1750265307602","1"
"1373","1750265308602","-1"
"1383","1750265308602","1"
"1383","1750265309602","-1"
"1393","1750265309602","1"
"1393","1750265310602","-1"
"1403","1750265310602","1"
"1403","1750265311602","-1"
"1413","1750265311602","1"
"1413","1750265312602","-1"
"1423","1750265312602","1"
"1423","1750265313602","-1"
"1433","1750265313602","1"
"1433","1750265314602","-1"
"1443","1750265314602","1"
"1443","1750265315602","-1"
"1453","1750265315602","1"
"1453","1750265316602","-1"
"1463","1750265316602","1"
"1463","1750265317602","-1"
"1473","1750265317602","1"
"1473","1750265318602","-1"
"1483","1750265318602","1"
"1483","1750265319602","-1"
"1493","1750265319602","1"
"1493","1750265320602","-1"
"1503","1750265320602","1"
"1503","1750265321602","-1"
"1513","1750265321602","1"
"1513","1750265322602","-1"
"1523","1750265322602","1"
"1523","1750265323602","-1"
"1533","1750265323602","1"
"1533","1750265324602","-1"
"1542","1750265324602","1"
"1542","1750265325602","-1"
"1552","1750265325602","1"
"1552","1750265326602","-1"
"1562","1750265326602","1"
"1562","1750265327602","-1"
"1572","1750265327602","1"
"1572","1750265328602","-1"
"1582","1750265328602","1"
"1582","1750265329602","-1"
"1592","1750265329602","1"
"1592","1750265330602","-1"
"1602","1750265330602","1"
"1602","1750265331602","-1"
"1612","1750265331602","1"
"1612","1750265332602","-1"
"1622","1750265332602","1"
"1622","1750265333602","-1"
"1632","1750265333602","1"
"1632","1750265334602","-1"
"1642","1750265334602","1"
"1642","1750265335602","-1"
"1652","1750265335602","1"
"1652","1750265336602","-1"
"1662","1750265336602","1"
"1662","1750265337602","-1"
"1672","1750265337602","1"
"1672","1750265338602","-1"
"1682","1750265338602","1"
"1682","1750265339602","-1"
"1692","1750265339602","1"
"1692","1750265340602","-1"
"1702","1750265340602","1"
"1702","1750265341602","-1"
"1712","1750265341602","1"
"1712","1750265342602","-1"
"1722","1750265342602","1"
"1722","1750265343602","-1"
"1732","1750265343602","1"
"1732","1750265344602","-1"
"1741","1750265344602","1"
"1741","1750265345602","-1"
"1751","1750265345602","1"
"1751","1750265346602","-1"
"1761","1750265346602","1"
"1761","1750265347602","-1"
"1771","1750265347602","1"
"1771","1750265348602","-1"
"1781","1750265348602","1"
"1781","1750265349602","-1"
"1791","1750265349602","1"
"1791","1750265350602","-1"
"1801","1750265350602","1"
"1801","1750265351602","-1"
"1811","1750265351602","1"
"1811","1750265352602","-1"
"1821","1750265352602","1"
"1821","1750265353602","-1"
"1831","1750265353602","1"
"1831","1750265354602","-1"
"1841","1750265354602","1"
"1841","1750265355602","-1"
"1851","1750265355602","1"
"1851","1750265356602","-1"
"1861","1750265356602","1"
"1861","1750265357602","-1"
"1871","1750265357602","1"
"1871","1750265358602","-1"
"1881","1750265358602","1"
"1881","1750265359602","-1"
"1891","1750265359602","1"
"1891","1750265360602","-1"
"1901","1750265360602","1"
"1901","1750265361602","-1"
"1911","1750265361602","1"
"1911","1750265362602","-1"
"1921","1750265362602","1"
"1921","1750265363602","-1"
"1930","1750265363602","1"
"1930","1750265364602","-1"
"1940","1750265364602","1"
"1940","1750265365602","-1"
"1950","1750265365602","1"
"1950","1750265366602","-1"
"1960","1750265366602","1"
"1960","1750265367602","-1"
"1970","1750265367602","1"
"1970","1750265368602","-1"
"1980","1750265368602","1"
"1980","1750265369602","-1"
"1990","1750265369602","1"
"1990","1750265370602","-1"
"2000","1750265370602","1"
"2000","1750265371602","-1"
"2010","1750265371602","1"
"2010","1750265372602","-1"
"2020","1750265372602","1"
"2020","1750265373602","-1"
"2030","1750265373602","1"
"2030","1750265374602","-1"
"2040","1750265374602","1"
"2040","1750265375602","-1"
"2050","1750265375602","1"
"2050","1750265376602","-1"
"2060","1750265376602","1"
"2060","1750265377602","-1"
"2070","1750265377602","1"
"2070","1750265378602","-1"
"2079","1750265378602","1"
"2079","1750265379602","-1"
"2089","1750265379602","1"
"2089","1750265380602","-1"
"2099","1750265380602","1"
"2099","1750265381602","-1"
"2109","1750265381602","1"
"2109","1750265382602","-1"
"2119","1750265382602","1"
"2119","1750265383602","-1"
"2129","1750265383602","1"
